序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
138,54056655,昱誠實業有限公司,新北市汐止區福德一路177巷16號,潘駿達,100000,1020501
139,54056661,萃茶風國際有限公司,新北市新莊區富國里富國路69號(1樓),呂坤謀,1000000,1020501
140,54056677,馥裕軒建設股份有限公司,新北市板橋區文化路1段32巷25號,黃韻綺,65000000,1020501
141,54056682,三好國際有限公司,新北市淡水區北新路182巷82號13樓,林伶紜,1000000,1020501
142,54056698,英桃實業有限公司,新北市三峽區二鬮里中正路3段146號,阮英桃,1000000,1020501
143,54056705,科鐽工程顧問有限公司,新北市新店區溪園路357號10樓,陳郁潔,10000000,1020502
144,54056711,利玖達實業有限公司,新北市永和區永和路2段166號11樓之7,端木正,1710000,1020502
145,54056727,永勝工程有限公司,新北市板橋區港嘴里雙十路1段6號,周定豐,500000,1020502
146,54056732,信利達實業有限公司,新北市中和區景平路80號8樓之1,吳瀚森,500000,1020502
147,54056748,聚樂方塊數位股份有限公司,新北市板橋區自由路41號,陳官秀琴,5000000,1020502
148,54056753,岱鍠精密機械股份有限公司,新北市樹林區中正路45巷12弄9號(1樓),林玉城,1000000,1020502
149,54056769,維翰工程有限公司,新北市蘆洲區三民路25號4樓,賴明志,1200000,1020502
150,54056775,金澔機電有限公司,新北市鶯歌區二橋里中正三路許厝巷20之2號,許皓翔,300000,1020502
151,54056780,鉅亨實業股份有限公司,新北市永和區永貞路79號,胡孝明,1000000,1020502
152,54056796,協澤企業有限公司,新北市新店區竹林路61巷2號8樓,李熙新,500000,1020502
153,54056803,太帥實業有限公司,新北市樹林區樹德街136巷5號2樓,賴孟澤,1000000,1020502
154,54056819,日晟通訊有限公司,新北市鶯歌區南鶯里行政路1號(1樓),徐瑛麟,100000,1020502
155,54056825,朵喵喵有限公司,新北市新莊區全安里7鄰新豐街17號(1樓),童慧君,50000,1020502
156,54056830,序倫有限公司,新北市汐止區福山里國興街21巷15弄12號,王錦祿,1000000,1020502
157,54056846,牽禮馬國際有限公司,新北市三重區頂崁街210巷66弄8號(1樓),李潔,2000000,1020502
158,54056851,合盈機電工程有限公司,新北市三重區三安里安樂街27號(4樓),黃當榮,1000000,1020502
159,54056867,世顏榮國際開業貿易有限公司,新北市中和區員山里中山路3段120之22號4樓,邱彥榮,5000000,1020502
160,54056873,溱信工程有限公司,新北市永和區民有街21巷1弄4號5樓,林信杉,3000000,1020502
161,54056888,海豐國際多媒體有限公司,新北市新店區北宜路2段409號3樓,蔡其金,1000000,1020502
162,54056894,登莉安精品貿易有限公司,新北市中和區中原里橋安街19號3樓,林卿,3000000,1020502
163,54056901,博鉭國際開發有限公司,新北市板橋區國光路187號7樓,劉孟璋,1000000,1020502
164,54056917,星協精密股份有限公司,新北市新莊區民安路420巷25號(1樓),王定寬,2000000,1020502
165,54056923,汎威有限公司,新北市淡水區竹圍里民權路22號2樓,楊家羽,2000000,1020502
166,54056938,頂水產有限公司,新北市三重區力行路1段153巷48號,張育民,1000000,1020502
167,54056959,吉？企業有限公司,新北市八里區龍形一街29號3樓,陳福進,2000000,1020502
168,54056965,艾碧利有限公司,新北市淡水區鄧公里鄧公路2巷27號10樓,周蜀慧,1000000,1020503
169,54056971,軼企業有限公司,新北市新莊區中正路514巷105弄118號(1樓),謝宜達,5000000,1020502
170,54056986,青佳興有限公司,新北市石門區富基里楓林15之16號,葉枝青,1000000,1020503
171,54056992,震遠有限公司,新北市三峽區大同路270巷35弄8號3樓,李淯瑋,1000000,1020502
172,54057009,紐利有限公司,新北市永和區安樂路310號15樓之7,熊凱晴(KAI-CHING HSIUNG),700000,1020503
173,54057015,君芮國際企業有限公司,新北市土城區員福里中央路2段178號6樓,張蕥蕷,100000,1020503
174,54057021,澄暄企業有限公司,新北市永和區福和路5號3樓之5,吳莉婉,5000000,1020503
175,54057036,彤忻空間設計有限公司,新北市永和區永元里13鄰得和路243巷35號(1樓),張瑞玉,1000000,1020503
176,54057042,竹間餐飲事業有限公司,新北市三重區重新路2段92號1、2樓,林楷傑,4000000,1020503
177,54057057,龍丞有限公司,新北市土城區廷里25鄰金城路3段116巷11弄10號3樓,謝清泉,1000000,1020503
178,54057063,瑞鑫鞋業有限公司,新北市板橋區中山路1段53號,洪玉真,1000000,1020503
179,54057079,鑫漢有限公司,新北市中和區碧河里建八路205號14樓,方樂翔,200000,1020503
180,54057084,品新鮮物流股份有限公司,新北市中和區員山里中山路3段120之14號8樓,楊啟聖,2000000,1020503
181,54057090,綺盛國際有限公司,新北市板橋區中山路2段89巷8號(2樓),吳雪花,1000000,1020503
182,54057107,宏開有限公司,新北市汐止區樟樹一路268之4號5樓,劉立平,500000,1020503
183,54057113,冠力有限公司,新北市新莊區瓊林路59號之76三樓,蔡均謙,1000000,1020503
184,54057129,博茂實業有限公司,新北市樹林區保安街2段325巷9號,季維益,100000,1020503
185,54057134,新白不動產經紀有限公司,新北市汐止區大同里大同路2段312巷2號2樓,黃翠華,250000,1020503
186,54057140,富曜工程有限公司,新北市樹林區潭興街143巷26號3樓,陳嘉斌,500000,1020503
187,54057155,贊巴拉頌國際有限公司,新北市永和區永和路2段57號4樓　,周聖宜,200000,1020503
188,54057161,沅素股份有限公司,新北市新店區二十張路11巷1之1號5樓,王筑平,1200000,1020503
189,54057177,日震達科技有限公司,新北市新莊區福營路163號4樓,李昀穎,500000,1020503
190,54057182,快樂版廣告有限公司,新北市汐止區茄苳路130之3號6樓,林孟倫,200000,1020503
191,54057198,台益國際開發有限公司,新北市板橋區中山路2段359號3樓,李英嬌,1000000,1020503
192,54057205,弘旺不動產有限公司,新北市板橋區信義路53號,薛志瑋,1000000,1020503
193,54057211,玖慶有限公司,新北市三重區光明里重安街16號（1樓）,周煥鈞,5000000,1020503
194,54057227,和昕不動產有限公司,新北市淡水區新春街179號,簡志佳,1000000,1020503
195,54057232,興福不動產經紀有限公司,新北市汐止區中興路109號（1樓）,莫宗穎,1000000,1020503
196,54057248,元豪有限公司,新北市新莊區新莊路312號,何俊豪,1000000,1020503
197,54057253,康美特科技有限公司,新北市三峽區民族街5巷60號2樓,黃彥棋,1000000,1020503
198,54057269,東大醫療器材有限公司,新北市新莊區五工三路62巷33號,任鎮東,3000000,1020503
199,54057275,合順廣國際貿易有限公司,新北市新莊區中原東路89巷10號12樓,張嘉榮,5000000,1020503
200,54057280,昊漢財務顧問股份有限公司,新北市三重區興德路96號12樓之1,王世斌,2200000,1020503
201,54057296,浮洲工程開發有限公司,新北市板橋區大觀路2段83號,蔡佳明,500000,1020503
202,54057303,峰靜房屋有限公司,新北市八里區龍源里龍米路1段306號(1樓),花淑靜,500000,1020503
203,54057319,尚星科技有限公司,新北市中和區中山路3段112之1號4樓,張恒,1000000,1020503
204,54057325,富品生活有限公司,新北市新莊區中興街10巷13號(1樓),洪淑芬,1000000,1020503
205,54057330,八號工坊有限公司,新北市汐止區崇德里茄苳路113號4樓,趙宏祥,500000,1020503
206,54057346,聯享行銷股份有限公司,新北市新莊區中港三街87號,魏進宏,3000000,1020503
207,54057351,雅致生物科技有限公司,新北市泰山區中港西路498巷58號6樓,鄭雅方,500000,1020506
208,54057367,女王國際企業有限公司,新北市中和區新南里景平路594號(1樓),張曉瑩,1500000,1020506
209,54057373,佳隆實業有限公司,新北市三重區光輝里文化南路67號,林子平,1000000,1020506
210,54057388,三優水國際有限公司,新北市淡水區新民街19巷16號12樓,謝享達,1000000,1020506
211,54057401,詮士柏實業有限公司,新北市新莊區新樹路240號,洪培堯,5000000,1020506
212,54057417,崑億有限公司,新北市汐止區福德一路55號3樓,謝珠嫻,100000,1020506
213,54057438,壹粒壹有限公司,新北市深坑區北深路2段43巷16號,李錦章,5000000,1020506
214,54057459,愛皮皮股份有限公司,新北市中和區中山路2段362之1號10樓,廖盈嘉,2000000,1020506
215,54057465,宏生創意行銷股份有限公司,新北市板橋區文化路1段268號8樓之2,吳政達,1000000,1020506
216,54057471,台揚電能股份有限公司,新北市新莊區新樹路288之3號(2樓),邱益順,11250000,1020506
217,54057486,旌陽國際有限公司,新北市蘆洲區長榮路77號3樓,李昂,5000000,1020506
218,54057492,加一行銷整合有限公司,新北市泰山區明志路2段136巷21弄2號,李婉瑜,1000000,1020506
219,54057508,運轉管理顧問有限公司,新北市土城區學府路1段72號,張進昌,1000000,1020506
220,54057514,睿誠管理顧問股份有限公司,新北市新莊區中華路2段55號5樓,楊懷恩,500000,1020507
221,54057520,達震投資有限公司,新北市三重區龍門路28號4樓,陳建仁,15000000,1020506
222,54057535,佰德生醫股份有限公司,新北市新莊區五工五路1號,黃重實,24180000,1020506
223,54057541,松大地產開發有限公司,新北市新店區中正路338號(1樓),陳定松,250000,1020507
224,54057556,小亞派報行銷有限公司,新北市永和區秀朗路2段161巷22號(1樓),郭慧如,1000000,1020507
225,54057562,荷鑫實業有限公司,新北市新店區美潭里長春路43巷62號,馬嘉徽,3000000,1020507
226,54057578,翊正石材有限公司,新北市三重區後竹圍街277巷19號1樓,蔡若雯,2000000,1020506
227,54057583,吉鑫塑膠企業有限公司,新北市新莊區西盛里民安東路139巷12號,賴雅詩,1000000,1020506
228,54057599,坤賦有限公司,新北市三重區三和路3段30號(1樓),吳孟蓉,1000000,1020506
229,54057606,宜禾置業有限公司,新北市新莊區光明里民安西路212巷3弄11號5樓,江明雄,5000000,1020506
230,54057612,君成科技有限公司,新北市三峽區復興路149號,葉明吉,1000000,1020506
231,54057628,磊鑫國際企業有限公司,新北市三重區中興北街160巷31號,鄭承澤,12000000,1020506
232,54057633,宜益科技有限公司,新北市三峽區文化路120巷7號6樓,陳淑媛,1000000,1020506
233,54057649,福斯雲端科技有限公司,新北市板橋區南雅南路1段40號10樓之3,林智偉,100000,1020506
234,54057654,鈞合鑫工程有限公司,新北市三重區如意街43號9樓,葉鳳春,500000,1020506
235,54057660,俊瑋科技有限公司,新北市永和區信義路8巷8號,呂欣穎,500000,1020507
236,54057676,軒積科技有限公司,新北市鶯歌區尖山里14鄰尖山路140巷12弄7號(1樓),吳左鈞,500000,1020507
237,54057681,尊國企業有限公司,新北市五股區民義里民義路1段63巷4號4樓,張譽棻,2500000,1020507
238,54057697,倍達投資股份有限公司,新北市淡水區八勢里12鄰中正東路2段83號9樓之1,吳雅嵐,5100000,1020507
239,54057704,菁辰生技股份有限公司,新北市淡水區八勢里12鄰中正東路2段83號9樓之1,黃世貝,1000000,1020507
240,54057710,暢意快飲企劃顧問有限公司,新北市林口區忠孝路376巷43號7樓之2,楊之文,300000,1020507
241,54057726,嘉璟投資股份有限公司,新北市中和區連城路168號8樓,林崇平,100000000,1020507
242,54057731,竑碩企業有限公司,新北市中和區自立路139巷5號,廖竣詮,1000000,1020507
243,54057747,尚鼎龍有限公司,新北市新莊區中正路56巷12弄6號,林昂龍,500000,1020507
244,54057752,奔放映像有限公司,新北市新店區長春路191巷25號,江青樹,2000000,1020507
245,54057768,光合娛樂事業有限公司,新北市中和區秀明里景平路268號9樓之1,林家柔,300000,1020507
246,54057774,德玉工程有限公司,新北市汐止區文化里汐碇路14巷5號5樓,楊秋玉,1000000,1020507
247,54057789,神全開發工業有限公司,新北市中和區中山路2段303號3樓之22,曾玟惠,5000000,1020507
248,54057795,新瑞石材有限公司,新北市八里區中山路1段268巷35號6樓,蘇美桃,1000000,1020507
249,54057802,星逸企業有限公司,新北市土城區金城里金城路3段8號8樓,陳世昌,1000000,1020507
250,54057818,柏和不動產有限公司,新北市林口區信義路112號,許金和,1000000,1020507
251,54057824,佑晟生活事業有限公司,新北市中和區建八路213號3樓,張陳素真,1000000,1020507
252,54057839,駩瑩實業有限公司,新北市新莊區雙鳳里中山路3段595號8樓,陳威智,1000000,1020507
253,54057845,豐華顧問有限公司,新北市板橋區館前東路22號11樓之2,花楓順,100000,1020507
254,54057850,東安貿易有限公司,新北市八里區龍源里27鄰龍米路1段386巷18號,葉季標,1000000,1020507
255,54057866,壹接觸網路科技有限公司,新北市汐止區樟樹二路257之1號7樓,王彥博,120000,1020507
256,54057872,綠祥實業有限公司,新北市板橋區長安里中山路1段212號,許嘉森,1000000,1020507
257,54057893,強尼國際工廠有限公司,新北市三重區中正北路411巷16號5樓之2,徐翊幃,500000,1020508
258,54057900,崧智國際實業有限公司,新北市八里區中山路2段236號7樓,范寶駿,200000,1020507
259,54057916,頡源有限公司,新北市蘆洲區樹德里中山一路197巷9弄6號,陳韋如,1000000,1020508
